outer_heldout_perturbation_ids	selected_delta_score_weight	selected_by_inner	delta_score_weight	condition_recall_at_1	condition_recall_at_5	condition_median_rank	perturbation_recall_at_1	perturbation_recall_at_5	perturbation_median_rank
3,4,5	0.5	False	0.35	0.4444444444444444	0.8888888888888888	2.0	0.4444444444444444	0.8888888888888888	2.0
3,4,5	0.5	True	0.5	0.4444444444444444	0.8888888888888888	2.0	0.4444444444444444	0.8888888888888888	2.0
3,4,5	0.5	False	0.65	0.4444444444444444	0.8888888888888888	2.0	0.4444444444444444	0.8888888888888888	2.0
3,4,5	0.5	False	0.8	0.4444444444444444	0.8888888888888888	2.0	0.4444444444444444	0.8888888888888888	2.0
3,4,5	0.5	False	1.0	0.4074074074074074	0.8888888888888888	2.0	0.4074074074074074	0.8888888888888888	2.0
3,4,6	0.05	False	0.0	0.3333333333333333	0.8888888888888888	3.0	0.3333333333333333	0.8888888888888888	3.0
3,4,6	0.05	True	0.05	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
3,4,6	0.05	False	0.1	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
3,4,6	0.05	False	0.2	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
3,4,6	0.05	False	0.35	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
3,4,6	0.05	False	0.5	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
3,4,6	0.05	False	0.65	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
3,4,6	0.05	False	0.8	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
3,4,6	0.05	False	1.0	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
3,4,7	0.65	False	0.0	0.4074074074074074	0.8148148148148148	2.0	0.4074074074074074	0.8148148148148148	2.0
3,4,7	0.65	False	0.05	0.4444444444444444	0.8518518518518519	2.0	0.4444444444444444	0.8518518518518519	2.0
3,4,7	0.65	False	0.1	0.4444444444444444	0.8518518518518519	2.0	0.4444444444444444	0.8518518518518519	2.0
3,4,7	0.65	False	0.2	0.48148148148148145	0.8518518518518519	2.0	0.48148148148148145	0.8518518518518519	2.0
3,4,7	0.65	False	0.35	0.5555555555555556	0.8518518518518519	1.0	0.5555555555555556	0.8518518518518519	1.0
3,4,7	0.65	False	0.5	0.5555555555555556	0.8518518518518519	1.0	0.5555555555555556	0.8518518518518519	1.0
3,4,7	0.65	True	0.65	0.5555555555555556	0.8518518518518519	1.0	0.5555555555555556	0.8518518518518519	1.0
3,4,7	0.65	False	0.8	0.5925925925925926	0.8518518518518519	1.0	0.5925925925925926	0.8518518518518519	1.0
3,4,7	0.65	False	1.0	0.5555555555555556	0.8518518518518519	1.0	0.5555555555555556	0.8518518518518519	1.0
3,4,8	0.1	False	0.0	0.2962962962962963	0.9259259259259259	2.0	0.2962962962962963	0.9259259259259259	2.0
3,4,8	0.1	False	0.05	0.48148148148148145	0.9259259259259259	2.0	0.48148148148148145	0.9259259259259259	2.0
3,4,8	0.1	True	0.1	0.5555555555555556	0.8518518518518519	1.0	0.5555555555555556	0.8518518518518519	1.0
3,4,8	0.1	False	0.2	0.5925925925925926	0.8518518518518519	1.0	0.5925925925925926	0.8518518518518519	1.0
3,4,8	0.1	False	0.35	0.5925925925925926	0.8518518518518519	1.0	0.5925925925925926	0.8518518518518519	1.0
3,4,8	0.1	False	0.5	0.5925925925925926	0.8518518518518519	1.0	0.5925925925925926	0.8518518518518519	1.0
3,4,8	0.1	False	0.65	0.5925925925925926	0.8518518518518519	1.0	0.5925925925925926	0.8518518518518519	1.0
3,4,8	0.1	False	0.8	0.5925925925925926	0.8518518518518519	1.0	0.5925925925925926	0.8518518518518519	1.0
3,4,8	0.1	False	1.0	0.5925925925925926	0.8518518518518519	1.0	0.5925925925925926	0.8518518518518519	1.0
3,5,6	0.2	False	0.0	0.3333333333333333	0.8148148148148148	2.0	0.3333333333333333	0.8148148148148148	2.0
3,5,6	0.2	False	0.05	0.4074074074074074	0.8888888888888888	2.0	0.4074074074074074	0.8888888888888888	2.0
3,5,6	0.2	False	0.1	0.4074074074074074	0.9259259259259259	2.0	0.4074074074074074	0.9259259259259259	2.0
3,5,6	0.2	True	0.2	0.4444444444444444	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
3,5,6	0.2	False	0.35	0.5185185185185185	0.9259259259259259	1.0	0.5185185185185185	0.9259259259259259	1.0
3,5,6	0.2	False	0.5	0.4444444444444444	0.9629629629629629	2.0	0.4444444444444444	0.9629629629629629	2.0
3,5,6	0.2	False	0.65	0.4074074074074074	0.9629629629629629	2.0	0.4074074074074074	0.9629629629629629	2.0
3,5,6	0.2	False	0.8	0.4444444444444444	0.9629629629629629	2.0	0.4444444444444444	0.9629629629629629	2.0
3,5,6	0.2	False	1.0	0.4444444444444444	0.9629629629629629	2.0	0.4444444444444444	0.9629629629629629	2.0
3,5,7	0.1	False	0.0	0.37037037037037035	1.0	2.0	0.37037037037037035	1.0	2.0
3,5,7	0.1	False	0.05	0.4444444444444444	0.9629629629629629	2.0	0.4444444444444444	0.9629629629629629	2.0
3,5,7	0.1	True	0.1	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
3,5,7	0.1	False	0.2	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
3,5,7	0.1	False	0.35	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
3,5,7	0.1	False	0.5	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
3,5,7	0.1	False	0.65	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
3,5,7	0.1	False	0.8	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
3,5,7	0.1	False	1.0	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
3,5,8	1.0	False	0.0	0.37037037037037035	0.9629629629629629	2.0	0.37037037037037035	0.9629629629629629	2.0
3,5,8	1.0	False	0.05	0.3333333333333333	0.9259259259259259	2.0	0.3333333333333333	0.9259259259259259	2.0
3,5,8	1.0	False	0.1	0.37037037037037035	0.9629629629629629	2.0	0.37037037037037035	0.9629629629629629	2.0
3,5,8	1.0	False	0.2	0.4444444444444444	0.9629629629629629	2.0	0.4444444444444444	0.9629629629629629	2.0
3,5,8	1.0	False	0.35	0.37037037037037035	0.9629629629629629	2.0	0.37037037037037035	0.9629629629629629	2.0
3,5,8	1.0	False	0.5	0.4074074074074074	0.9629629629629629	2.0	0.4074074074074074	0.9629629629629629	2.0
3,5,8	1.0	False	0.65	0.4074074074074074	0.9629629629629629	2.0	0.4074074074074074	0.9629629629629629	2.0
3,5,8	1.0	False	0.8	0.4074074074074074	0.9629629629629629	2.0	0.4074074074074074	0.9629629629629629	2.0
3,5,8	1.0	True	1.0	0.37037037037037035	0.9629629629629629	2.0	0.37037037037037035	0.9629629629629629	2.0
3,6,7	0.8	False	0.0	0.4074074074074074	0.8888888888888888	2.0	0.4074074074074074	0.8888888888888888	2.0
3,6,7	0.8	False	0.05	0.5555555555555556	0.8888888888888888	1.0	0.5555555555555556	0.8888888888888888	1.0
3,6,7	0.8	False	0.1	0.5925925925925926	0.8888888888888888	1.0	0.5925925925925926	0.8888888888888888	1.0
3,6,7	0.8	False	0.2	0.5555555555555556	0.8888888888888888	1.0	0.5555555555555556	0.8888888888888888	1.0
3,6,7	0.8	False	0.35	0.5555555555555556	0.9259259259259259	1.0	0.5555555555555556	0.9259259259259259	1.0
3,6,7	0.8	False	0.5	0.5925925925925926	0.9629629629629629	1.0	0.5925925925925926	0.9629629629629629	1.0
3,6,7	0.8	False	0.65	0.5925925925925926	0.9629629629629629	1.0	0.5925925925925926	0.9629629629629629	1.0
3,6,7	0.8	True	0.8	0.5925925925925926	0.9629629629629629	1.0	0.5925925925925926	0.9629629629629629	1.0
3,6,7	0.8	False	1.0	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
3,6,8	0.65	False	0.0	0.37037037037037035	0.8518518518518519	2.0	0.37037037037037035	0.8518518518518519	2.0
3,6,8	0.65	False	0.05	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
3,6,8	0.65	False	0.1	0.5555555555555556	1.0	1.0	0.5555555555555556	1.0	1.0
3,6,8	0.65	False	0.2	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
3,6,8	0.65	False	0.35	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
3,6,8	0.65	False	0.5	0.5185185185185185	0.9259259259259259	1.0	0.5185185185185185	0.9259259259259259	1.0
3,6,8	0.65	True	0.65	0.5185185185185185	0.9259259259259259	1.0	0.5185185185185185	0.9259259259259259	1.0
3,6,8	0.65	False	0.8	0.5185185185185185	0.9259259259259259	1.0	0.5185185185185185	0.9259259259259259	1.0
3,6,8	0.65	False	1.0	0.5185185185185185	0.9259259259259259	1.0	0.5185185185185185	0.9259259259259259	1.0
3,7,8	0.35	False	0.0	0.3333333333333333	0.9259259259259259	2.0	0.3333333333333333	0.9259259259259259	2.0
3,7,8	0.35	False	0.05	0.3333333333333333	0.9629629629629629	2.0	0.3333333333333333	0.9629629629629629	2.0
3,7,8	0.35	False	0.1	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
3,7,8	0.35	False	0.2	0.5185185185185185	1.0	1.0	0.5185185185185185	1.0	1.0
3,7,8	0.35	True	0.35	0.5555555555555556	0.9259259259259259	1.0	0.5555555555555556	0.9259259259259259	1.0
3,7,8	0.35	False	0.5	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
3,7,8	0.35	False	0.65	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
3,7,8	0.35	False	0.8	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
3,7,8	0.35	False	1.0	0.5185185185185185	1.0	1.0	0.5185185185185185	1.0	1.0
4,5,6	0.8	False	0.0	0.3333333333333333	0.8888888888888888	3.0	0.3333333333333333	0.8888888888888888	3.0
4,5,6	0.8	False	0.05	0.4074074074074074	0.9629629629629629	2.0	0.4074074074074074	0.9629629629629629	2.0
4,5,6	0.8	False	0.1	0.4444444444444444	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
4,5,6	0.8	False	0.2	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
4,5,6	0.8	False	0.35	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
4,5,6	0.8	False	0.5	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
4,5,6	0.8	False	0.65	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
4,5,6	0.8	True	0.8	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
4,5,6	0.8	False	1.0	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
4,5,7	0.35	False	0.0	0.37037037037037035	0.7777777777777778	2.0	0.37037037037037035	0.7777777777777778	2.0
4,5,7	0.35	False	0.05	0.4074074074074074	0.8518518518518519	2.0	0.4074074074074074	0.8518518518518519	2.0
4,5,7	0.35	False	0.1	0.48148148148148145	0.8518518518518519	2.0	0.48148148148148145	0.8518518518518519	2.0
4,5,7	0.35	False	0.2	0.48148148148148145	0.8148148148148148	2.0	0.48148148148148145	0.8148148148148148	2.0
4,5,7	0.35	True	0.35	0.48148148148148145	0.8148148148148148	2.0	0.48148148148148145	0.8148148148148148	2.0
4,5,7	0.35	False	0.5	0.48148148148148145	0.8148148148148148	2.0	0.48148148148148145	0.8148148148148148	2.0
4,5,7	0.35	False	0.65	0.4444444444444444	0.8148148148148148	2.0	0.4444444444444444	0.8148148148148148	2.0
4,5,7	0.35	False	0.8	0.4444444444444444	0.8148148148148148	2.0	0.4444444444444444	0.8148148148148148	2.0
4,5,7	0.35	False	1.0	0.4444444444444444	0.8148148148148148	2.0	0.4444444444444444	0.8148148148148148	2.0
4,5,8	0.5	False	0.0	0.4074074074074074	0.8888888888888888	3.0	0.4074074074074074	0.8888888888888888	3.0
4,5,8	0.5	False	0.05	0.48148148148148145	1.0	2.0	0.48148148148148145	1.0	2.0
4,5,8	0.5	False	0.1	0.4444444444444444	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
4,5,8	0.5	False	0.2	0.4444444444444444	0.8888888888888888	2.0	0.4444444444444444	0.8888888888888888	2.0
4,5,8	0.5	False	0.35	0.4444444444444444	0.8888888888888888	2.0	0.4444444444444444	0.8888888888888888	2.0
4,5,8	0.5	True	0.5	0.37037037037037035	0.8888888888888888	2.0	0.37037037037037035	0.8888888888888888	2.0
4,5,8	0.5	False	0.65	0.37037037037037035	0.8888888888888888	2.0	0.37037037037037035	0.8888888888888888	2.0
4,5,8	0.5	False	0.8	0.37037037037037035	0.8888888888888888	2.0	0.37037037037037035	0.8888888888888888	2.0
4,5,8	0.5	False	1.0	0.37037037037037035	0.8888888888888888	2.0	0.37037037037037035	0.8888888888888888	2.0
4,6,7	0.1	False	0.0	0.2962962962962963	0.9629629629629629	2.0	0.2962962962962963	0.9629629629629629	2.0
4,6,7	0.1	False	0.05	0.48148148148148145	1.0	2.0	0.48148148148148145	1.0	2.0
4,6,7	0.1	True	0.1	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
4,6,7	0.1	False	0.2	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
4,6,7	0.1	False	0.35	0.48148148148148145	0.9629629629629629	2.0	0.48148148148148145	0.9629629629629629	2.0
4,6,7	0.1	False	0.5	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
4,6,7	0.1	False	0.65	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
4,6,7	0.1	False	0.8	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
4,6,7	0.1	False	1.0	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
4,6,8	0.2	False	0.0	0.3333333333333333	0.8888888888888888	2.0	0.3333333333333333	0.8888888888888888	2.0
4,6,8	0.2	False	0.05	0.5185185185185185	1.0	1.0	0.5185185185185185	1.0	1.0
4,6,8	0.2	False	0.1	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
4,6,8	0.2	True	0.2	0.5555555555555556	0.9629629629629629	1.0	0.5555555555555556	0.9629629629629629	1.0
4,6,8	0.2	False	0.35	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
4,6,8	0.2	False	0.5	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
4,6,8	0.2	False	0.65	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
4,6,8	0.2	False	0.8	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
4,6,8	0.2	False	1.0	0.5185185185185185	0.9629629629629629	1.0	0.5185185185185185	0.9629629629629629	1.0
4,7,8	0.5	False	0.0	0.37037037037037035	0.9259259259259259	2.0	0.37037037037037035	0.9259259259259259	2.0
4,7,8	0.5	False	0.05	0.3333333333333333	0.9629629629629629	2.0	0.3333333333333333	0.9629629629629629	2.0
4,7,8	0.5	False	0.1	0.4074074074074074	0.9629629629629629	2.0	0.4074074074074074	0.9629629629629629	2.0
4,7,8	0.5	False	0.2	0.37037037037037035	0.8888888888888888	2.0	0.37037037037037035	0.8888888888888888	2.0
4,7,8	0.5	False	0.35	0.4074074074074074	0.8888888888888888	2.0	0.4074074074074074	0.8888888888888888	2.0
4,7,8	0.5	True	0.5	0.4074074074074074	0.8888888888888888	2.0	0.4074074074074074	0.8888888888888888	2.0
4,7,8	0.5	False	0.65	0.4074074074074074	0.8888888888888888	2.0	0.4074074074074074	0.8888888888888888	2.0
4,7,8	0.5	False	0.8	0.4074074074074074	0.8888888888888888	2.0	0.4074074074074074	0.8888888888888888	2.0
4,7,8	0.5	False	1.0	0.37037037037037035	0.8888888888888888	2.0	0.37037037037037035	0.8888888888888888	2.0
5,6,7	0.2	False	0.0	0.4444444444444444	0.8888888888888888	2.0	0.4444444444444444	0.8888888888888888	2.0
5,6,7	0.2	False	0.05	0.4074074074074074	0.7777777777777778	2.0	0.4074074074074074	0.7777777777777778	2.0
5,6,7	0.2	False	0.1	0.4444444444444444	0.7777777777777778	2.0	0.4444444444444444	0.7777777777777778	2.0
5,6,7	0.2	True	0.2	0.5185185185185185	0.8518518518518519	1.0	0.5185185185185185	0.8518518518518519	1.0
5,6,7	0.2	False	0.35	0.5185185185185185	0.8518518518518519	1.0	0.5185185185185185	0.8518518518518519	1.0
5,6,7	0.2	False	0.5	0.5185185185185185	0.8888888888888888	1.0	0.5185185185185185	0.8888888888888888	1.0
5,6,7	0.2	False	0.65	0.5185185185185185	0.8888888888888888	1.0	0.5185185185185185	0.8888888888888888	1.0
5,6,7	0.2	False	0.8	0.5185185185185185	0.8888888888888888	1.0	0.5185185185185185	0.8888888888888888	1.0
5,6,7	0.2	False	1.0	0.5185185185185185	0.8888888888888888	1.0	0.5185185185185185	0.8888888888888888	1.0
5,6,8	0.35	False	0.0	0.2962962962962963	0.9259259259259259	3.0	0.2962962962962963	0.9259259259259259	3.0
5,6,8	0.35	False	0.05	0.37037037037037035	0.9259259259259259	2.0	0.37037037037037035	0.9259259259259259	2.0
5,6,8	0.35	False	0.1	0.37037037037037035	1.0	2.0	0.37037037037037035	1.0	2.0
5,6,8	0.35	False	0.2	0.37037037037037035	0.9629629629629629	2.0	0.37037037037037035	0.9629629629629629	2.0
5,6,8	0.35	True	0.35	0.37037037037037035	1.0	3.0	0.37037037037037035	1.0	3.0
5,6,8	0.35	False	0.5	0.37037037037037035	1.0	2.0	0.37037037037037035	1.0	2.0
5,6,8	0.35	False	0.65	0.4074074074074074	1.0	2.0	0.4074074074074074	1.0	2.0
5,6,8	0.35	False	0.8	0.4074074074074074	0.9629629629629629	3.0	0.4074074074074074	0.9629629629629629	3.0
5,6,8	0.35	False	1.0	0.4074074074074074	0.9629629629629629	3.0	0.4074074074074074	0.9629629629629629	3.0
5,7,8	0.2	False	0.0	0.4074074074074074	0.9629629629629629	2.0	0.4074074074074074	0.9629629629629629	2.0
5,7,8	0.2	False	0.05	0.48148148148148145	0.9259259259259259	2.0	0.48148148148148145	0.9259259259259259	2.0
5,7,8	0.2	False	0.1	0.48148148148148145	0.9259259259259259	2.0	0.48148148148148145	0.9259259259259259	2.0
5,7,8	0.2	True	0.2	0.48148148148148145	0.9259259259259259	2.0	0.48148148148148145	0.9259259259259259	2.0
5,7,8	0.2	False	0.35	0.48148148148148145	0.8888888888888888	2.0	0.48148148148148145	0.8888888888888888	2.0
5,7,8	0.2	False	0.5	0.4444444444444444	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
5,7,8	0.2	False	0.65	0.4444444444444444	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
5,7,8	0.2	False	0.8	0.4444444444444444	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
5,7,8	0.2	False	1.0	0.4444444444444444	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
6,7,8	0.2	False	0.0	0.2962962962962963	0.8518518518518519	3.0	0.2962962962962963	0.8518518518518519	3.0
6,7,8	0.2	False	0.05	0.37037037037037035	1.0	2.0	0.37037037037037035	1.0	2.0
6,7,8	0.2	False	0.1	0.37037037037037035	1.0	2.0	0.37037037037037035	1.0	2.0
6,7,8	0.2	True	0.2	0.4074074074074074	0.9629629629629629	2.0	0.4074074074074074	0.9629629629629629	2.0
6,7,8	0.2	False	0.35	0.37037037037037035	1.0	2.0	0.37037037037037035	1.0	2.0
6,7,8	0.2	False	0.5	0.37037037037037035	0.9629629629629629	2.0	0.37037037037037035	0.9629629629629629	2.0
6,7,8	0.2	False	0.65	0.4074074074074074	0.9259259259259259	2.0	0.4074074074074074	0.9259259259259259	2.0
6,7,8	0.2	False	0.8	0.37037037037037035	0.9259259259259259	2.0	0.37037037037037035	0.9259259259259259	2.0
6,7,8	0.2	False	1.0	0.37037037037037035	0.9259259259259259	2.0	0.37037037037037035	0.9259259259259259	2.0
